chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.376214961504637	0.518001467292677	0.586350896231618	0.483786661372132
2	0.370813532112356	0.523472345085126	0.623040954345553	0.474375615519826
3	0.36915103713551	0.460036000110545	0.444963482362116	0.446509211439309
4	0.374412584775532	0.491857877593407	0.499353683641756	0.484589537179228
5	0.37026028474647	0.484793041886868	0.49593568345371	0.468045260029462
6	0.368491704778856	0.480607292753496	0.511091525858529	0.467297884887855
7	0.380766423843364	0.545428918404089	0.642421684761735	0.516954646407168
8	0.390306313859995	0.540977457780523	0.646848155492418	0.511483449842765
9	0.385479458309694	0.552743650424127	0.689916451425865	0.495897260756258
10	0.407241344680584	0.56248493104456	0.650764885053368	0.533349715044213
11	0.372424095725964	0.500319409459988	0.563564042166866	0.45672414788343
12	0.394824891151445	0.509152447355474	0.508701509284472	0.492511562997329
13	0.390430561149935	0.5236103934338	0.61439917465961	0.486635473553546
14	0.354363040892599	0.49453910144263	0.614839045453195	0.469750356483219
15	0.362982014473005	0.496213933527709	0.570175957303153	0.488624951800405
16	0.404669695202416	0.638037875841807	0.805179791365455	0.5555836746256
17	0.371567870833894	0.543708057240904	0.676003040015519	0.461068289586448
18	0.36666581606062	0.494364898867787	0.534667336955771	0.486083254118801
19	0.477347185231411	0.713755667697072	0.830681522505782	0.596694726700706
20	0.390347283126336	0.544063777290165	0.557529000119275	0.513990078017347
21	0.435949272161525	0.637501815268234	0.788307305115411	0.546956858640239
22	0.423687390539873	0.733834726836627	1.02320111827018	0.598271723524891
X	0.488941093505528	0.630924290421106	0.586478866677772	0.631319239875756
Y	0.577061198375523	0.994971289357842	1.78376884196773	0.776794966255636
Total	0.38668698030875	0.531446191386931	0.613258043581105	0.499465543540018
