chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.186324757435433	0.248725882227528	0.271592732435879	0.240698174484079
2	0.285244226358107	0.562969674962535	0.874439449619234	0.427074404872048
3	0.38397726032706	0.844785414108426	1.13423721168121	0.822203178681358
4	0.19233954668937	0.237231084865105	0.200693373114067	0.241171519748505
5	0.231546172992894	0.29847141940409	0.282739741169398	0.297771328611919
6	0.198500583754025	0.251934181338604	0.22790544677632	0.253668211179523
7	0.227183413127314	0.30621805969731	0.317466320603262	0.299193242650259
8	1.08811517537581	1.41725970731	1.20590285108874	1.55713221118292
9	0.192865560730569	0.251549358660311	0.257827938413819	0.245011421499842
10	0.181249481540632	0.244254584856689	0.248788970091341	0.237511977988738
11	0.23924759734737	0.303247341415118	0.305871512946979	0.29224453650949
12	0.181364917853353	0.223142502732776	0.187844415453296	0.220136076703998
13	0.183982993270544	0.224540816599604	0.186233274626738	0.227385579596128
14	0.254087729830929	0.319617208776359	0.288093797519246	0.317425297435397
15	0.190657700248816	0.252537653123582	0.275069825598647	0.234415060300712
16	0.256751661932074	0.359546196462595	0.412219782474126	0.329542312785152
17	0.207271514978366	0.280652642079328	0.28495579515559	0.28743119937807
18	0.221802379722377	0.27009647489716	0.22157646543492	0.280943430361953
19	0.238405267979998	0.306534162624385	0.295303207886024	0.318479580599761
20	0.22713794822934	0.281356455221202	0.236010998298944	0.297590850339318
21	0.236598552732755	0.298947776618392	0.278220660818587	0.310272344468317
22	0.227033689124349	0.306048468153086	0.387371034353519	0.293193720179258
X	0.234470542534478	0.311213526683526	0.32789496166772	0.309382700773594
Y	0.251266380128429	0.627480522117382	1.63682340213165	0.382898883941202
Total	0.233835683566374	0.398580227506488	0.621159822341342	0.320512216377171
