chrom	MAPD	AVG_APD	STD_APD	IQR_APD
1	0.212337889179862	0.30105155056242	0.360554446721762	0.276598564678851
2	0.204977284341609	0.290382227604151	0.364716415793302	0.271992888949875
3	0.19808830238814	0.247738621043929	0.241286096245899	0.238542305242579
4	0.268471254219458	0.355097961012099	0.35439317392402	0.351807742257564
5	0.197512738686815	0.261388955845614	0.300554308409057	0.249174267549408
6	0.214912053628055	0.280105586476002	0.300405319035582	0.274740843945005
7	0.209494619926424	0.303222061216179	0.361651770717951	0.27538663269991
8	0.194158876549701	0.275046996282829	0.353869922326113	0.261972096695122
9	0.209640205216548	0.298430360952923	0.376278331936314	0.263263489406169
10	0.207177672261304	0.296020020964833	0.36799912470689	0.269913851626794
11	0.218510499848277	0.300116302501981	0.344214384302009	0.281017841465927
12	0.190829925071723	0.256911423114448	0.26806581128616	0.253677564674462
13	0.19473683558591	0.269792621440365	0.323432588387199	0.239412155804559
14	0.207397099344655	0.282025765971357	0.345060494996457	0.261248425256918
15	0.208838207464902	0.292136425953728	0.35284650846122	0.281212327215087
16	0.233656238251748	0.376505310091121	0.533451632397674	0.316502868345156
17	0.212485991430122	0.314162684989596	0.378463553492708	0.272839976836839
18	0.196210685341287	0.2597126563142	0.265116440793355	0.249602353751802
19	0.269281958294621	0.409383193187589	0.483325868621769	0.363817189182333
20	0.231188704345545	0.299599785937546	0.279975207574581	0.293989348933954
21	0.201440392224873	0.314769189055813	0.409234441802741	0.265991578675158
22	0.262647302361015	0.44362383900052	0.659620867150491	0.382819954310464
X	0.429442596071322	0.782472316420856	0.936997602945952	0.804246264658113
Y	0.288338830896473	0.683422048552516	1.66761585399363	0.41049014481213
Total	0.217212547672547	0.322267971823332	0.432537696636083	0.288077700812029
