bin,cancer_type,SBS3,Classification,,bin,cancer_type,SBS5,Classification,,bin,cancer_type,SBS40,Classification
SV,Eso-AdenoCa,0,0.99996233,,SV,Ovary-AdenoCA,0.09366718,0.9999356,,SV,Kidney-RCC,0.713535,0.9992987
SV,Lymph-BNHL,0.010585726,0.77701616,,SV,Liver-HCC,0.22287287,0.99807954,,SV,Prost-AdenoCA,0.53332907,0.99995816
SV,Ovary-AdenoCA,0.41700655,0.99953437,,SV,Panc-Endocrine,0.13364865,0.9987457,,SV,Liver-HCC,0.40944445,0.99851865
SV,Lymph-CLL,0.61716807,0.99306434,,SV,Kidney-RCC,0.17834218,0.99809366,,SV,Panc-AdenoCA,0.48737603,0.9999535
SV,CNS-Medullo,0.10092637,0.6515599,,SV,Prost-AdenoCA,0.28545955,0.99993587,,SV,Ovary-AdenoCA,0.47448438,0.99979085
SV,Skin-Melanoma,0,0.9886619,,SV,Panc-AdenoCA,0.05228623,0.9999782,,SV,Eso-AdenoCa,0.521227,0.9999281
SV,Panc-AdenoCA,0.26110482,0.9999074,,SV,Eso-AdenoCa,0.053820755,0.99999213,,SV,Panc-Endocrine,0.11866257,0.9994974
SV,Liver-HCC,0,0.99011153,,SV,Lymph-BNHL,0.32249087,0.5219402,,SV,CNS-Medullo,0,0.023991562
SV,Breast-AdenoCa,0.3579402,0.98916173,,SV,CNS-Medullo,0.30296564,0.9999423,,SV,Lymph-BNHL,0,0.31585574
SV,Bone-Osteosarc,0.03276837,0.9900007,,SV,Lymph-CLL,0.45259672,0.72006804,,SV,Skin-Melanoma,0.47451398,0.9867346
SV,Bone-Epith,0,0.9999999,,SV,Head-SCC,0.23592848,0.99963987,,SV,Biliary-AdenoCA,0.02298161,0.99935263
SV,ColoRect-AdenoCA,0,0.99994326,,SV,Stomach-AdenoCA,0.042297166,0.99999034,,SV,Lymph-CLL,0,7.1435636E-07
SV,Thy-AdenoCA,0,0.014313014,,SV,Skin-Melanoma,0,0.383315,,SV,CNS-PiloAstro,0.09106255,0.9991769
SV,Head-SCC,0.06483956,0.99463993,,SV,Biliary-AdenoCA,0.29487088,0.99963284,,SV,Stomach-AdenoCA,0.6141663,0.9998828
SV,Bone-Leiomyo,0.45173043,0.9932815,,SV,CNS-PiloAstro,0.12805226,0.97991955,,SV,Breast-AdenoCa,0.53100234,0.99961483
SV,Lung-AdenoCA,0,0.988197,,SV,Myeloid-AML,0,8.404815E-08,,SV,Bone-Osteosarc,0.05301188,0.9954601
SV,Lung-SCC,0.010101537,0.99875367,,SV,Breast-DCIS,0.03445381,0.99999785,,SV,Breast-LobularCa,0.6554751,0.99986386
SV,CNS-GBM,0.17615373,0.9993061,,SV,Breast-AdenoCa,0.065729216,0.99994326,,SV,Bone-Epith,0.053910557,0.99993026
SV,Uterus-AdenoCA,0.08469593,0.9973531,,SV,Breast-LobularCa,0.065215275,0.99524635,,SV,Uterus-AdenoCA,0.44604844,0.9998412
