#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
1	1	249250621	48782560	222664302	89.3335	28.3675	29.6	57
2	1	243199373	55714329	236280745	97.1552	32.9796	29.6	57.2
3	1	198022430	44956456	193646266	97.7901	33.0484	29.6	58.8
4	1	191154276	46666305	186529332	97.5805	35.4763	29.6	58.3
5	1	180915260	42458925	176613999	97.6225	34.0043	29.6	57.9
6	1	171115067	39699519	166541433	97.3272	33.6463	29.6	58.4
7	1	159138663	33766846	153442708	96.4208	30.7271	29.6	57.6
8	1	146364022	33318342	141339489	96.5671	33.0423	29.6	57.7
9	1	141213431	26123721	118243601	83.734	26.5823	29.5	54.1
10	1	135534747	28465968	130163537	96.037	30.3192	29.5	57.7
11	1	135006516	28618481	129315188	95.7844	30.7096	29.6	58.3
12	1	133851895	28532478	129321278	96.6152	30.93	29.6	58.6
13	1	115169878	22918634	95126294	82.5965	28.9008	29.6	58.8
14	1	107349540	19902274	87301077	81.3241	26.8652	29.6	57.9
15	1	102531392	16718098	80798403	78.8036	23.6148	29.5	56.5
16	1	90354753	16665405	76772593	84.968	26.2778	29.4	49.7
17	1	81195210	12587917	75791191	93.3444	22.3659	29.5	57.2
18	1	78077248	17177766	74233189	95.0766	31.9841	29.6	58.7
19	1	59128983	7419283	53294850	90.1332	17.8876	29.4	56.7
20	1	63025520	11229534	58365408	92.606	25.7634	29.5	58.6
21	1	48129895	8656571	34614938	71.9198	25.3623	29.5	56.1
22	1	51304566	5342868	33512119	65.32	14.5337	29.3	54.6
X	1	155270560	39739094	150191185	96.7287	37.1423	29.6	56.9
Y	1	59373566	210706	2490622	4.19483	0.42545	29.3	17.5
MT	1	16569	397046	16569	100	3420.8	29.2	55.1
GL000207.1	1	4262	10684	4239	99.4603	327.004	29.3	51
GL000226.1	1	15008	533850	15008	100	5155.18	29.7	3.64
GL000229.1	1	19913	6446	19653	98.6943	43.6977	29.1	49.9
GL000231.1	1	27386	10041	27058	98.8023	53.4691	29.6	49.7
GL000210.1	1	27682	714	16483	59.5441	3.55151	29.3	11
GL000239.1	1	33824	21320	33728	99.7162	88.8496	29.4	7.45
GL000235.1	1	34474	21505	34425	99.8579	91.3521	29.7	43.8
GL000201.1	1	36148	616	25327	70.0647	2.43289	29.1	3.97
GL000247.1	1	36422	5494	35581	97.691	21.8182	29.5	11.3
GL000245.1	1	36651	22661	36645	99.9836	90.4235	29.7	3.28
GL000197.1	1	37175	8162	32666	87.8709	24.9539	28.5	7.65
GL000203.1	1	37498	5773	37017	98.7173	22.2774	29.7	22.2
GL000246.1	1	38154	5335	37369	97.9425	20.3121	29.5	15.5
GL000249.1	1	38502	2085	37347	97.0002	7.88445	29.4	2.09
GL000196.1	1	38914	11665	38878	99.9075	43.808	29.5	7.58
GL000248.1	1	39786	5119	39141	98.3788	18.6857	29.4	12.5
GL000244.1	1	39929	8359	39067	97.8412	30.4142	29.6	2.67
GL000238.1	1	39939	3462	38768	97.068	12.5831	29.6	8.81
GL000202.1	1	40103	1133	33293	83.0187	4.10982	29.2	20.9
GL000234.1	1	40531	21464	40452	99.8051	77.4867	29.6	51.6
GL000232.1	1	40652	17573	40647	99.9877	63.2866	29.6	46.4
GL000206.1	1	41001	1347	27461	66.9764	4.80183	29.4	5.55
GL000240.1	1	41933	14170	41700	99.4444	49.2029	29.5	28.7
GL000236.1	1	41934	7589	41493	98.9483	26.2606	29.5	7.96
GL000241.1	1	42152	23163	42152	100	79.8676	29.6	46.2
GL000243.1	1	43341	13459	43128	99.5085	44.2566	29.4	11.4
GL000242.1	1	43523	2280	40352	92.7142	7.56451	29.3	5.24
GL000230.1	1	43691	6370	39589	90.6113	20.9774	29.6	31.8
GL000237.1	1	45867	24813	45867	100	76.454	29.3	20.5
GL000233.1	1	45941	6258	41894	91.1909	19.5703	29.6	20.9
GL000204.1	1	81310	5157	70432	86.6216	9.11341	29.2	54.5
GL000198.1	1	90085	62282	90016	99.9234	99.784	29.6	13.8
GL000208.1	1	92689	49176	92647	99.9547	76.5092	29.6	37.8
GL000191.1	1	106433	9008	102854	96.6373	12.3287	29.4	16.7
GL000227.1	1	128374	15302	119743	93.2767	17.2129	29.6	0.551
GL000228.1	1	129120	18657	88272	68.3643	20.5397	29.5	10.2
GL000214.1	1	137718	325608	137424	99.7865	343.66	29.3	28.1
GL000221.1	1	155397	64776	153488	98.7715	60.7071	29.6	8.12
GL000209.1	1	159169	9618	103058	64.7475	8.70634	29.5	11.7
GL000218.1	1	161147	58460	159227	98.8085	53.0402	29.6	35.9
GL000220.1	1	161802	1858331	158130	97.7306	1518.05	28.8	50.6
GL000213.1	1	164239	12309	152859	93.0711	10.8372	29.6	12
GL000211.1	1	166566	48584	165357	99.2742	42.4794	29.6	46.8
GL000199.1	1	169874	285079	169059	99.5202	241.672	29.6	6.91
GL000217.1	1	172149	53767	169022	98.1836	45.3857	29.6	17
GL000216.1	1	172294	50262	170757	99.1079	39.1661	29.3	36.4
GL000215.1	1	172545	15368	164932	95.5878	12.9323	29.6	6.76
GL000205.1	1	174588	118549	174363	99.8711	98.5575	29.6	42.3
GL000219.1	1	179198	95660	179167	99.9827	74.9268	29.5	50.6
GL000224.1	1	179693	309346	179674	99.9894	249.818	29.2	23.5
GL000223.1	1	180455	22166	175600	97.3096	17.5115	29.4	1.34
GL000195.1	1	182896	142959	182703	99.8945	113.997	29.6	45.6
GL000212.1	1	186858	53008	183114	97.9963	41.2044	29.6	41.3
GL000222.1	1	186861	21734	182338	97.5795	16.9533	29.6	16.2
GL000200.1	1	187035	14196	179772	96.1168	11.0209	29.6	0.00451
GL000193.1	1	189789	94008	186329	98.1769	72.1739	29.5	45.2
GL000194.1	1	191469	75134	189943	99.203	57.439	29.6	30.2
GL000225.1	1	211173	59107	202972	96.1165	39.0033	29.4	33.5
GL000192.1	1	547496	119646	543821	99.3288	31.7579	29.6	25.6
NC_007605	1	171823	43	142	0.0826432	0.00969602	21.2	12.2
hs37d5	1	35477943	28147001	32228434	90.8408	104.565	29.2	28.5
