ExonicFunc.refGene	Group	Count	Total	Prop	LowCI	HighCI	Normalized_Prop	Normalized_LowCI	Normalized_HighCI	Count1	SE1
nonsynonymous	Control	21	33	0.636363636363636	0.451426064851587	0.790388518803476	1.38082417220723	0.97953432077515	1.71503761345542	1.77837684840706	0.136574116552386
synonymous	Control	11	33	0.333333333333333	0.185548542145432	0.518955184725431	0.644973925663543	0.359021914886059	1.00413768820743	0.931530730117986	0.0715388229560117
stopgain	Control	1	33	0.0303030303030303	0.00158385694208814	0.175132685210624	9.0418121470753	0.472590918960668	52.256055736082	0.0846846118289079	0.00650352935963743
stoploss	Control	0	33	0	0	0.129829474008168	0	0	256.916606579504	0	0
nonsynonymous	IHD	88	142	0.619718309859155	0.534150972558406	0.698704673650168	1.34470603490603	1.1590363313833	1.51609590410192	3.8459009864085	1.02410067438203
synonymous	IHD	45	142	0.316901408450704	0.242851726873383	0.401033767375915	0.61317943637027	0.469899094907089	0.775968969804252	1.96665391350435	0.523687844854446
stopgain	IHD	9	142	0.0633802816901408	0.0312440760430039	0.120433149329467	18.911395828742	9.32260118756266	35.9348191130843	0.393330782700869	0.104737568970889
stoploss	IHD	0	142	0	0	0.0328290088172646	0	0	64.9645822501721	0	0
nonsynonymous	Germline	96670	209761	0.460857833439009	0.458723039500727	0.462994062613436	1	0.995367782028675	1.00463533224224	0	0
synonymous	Germline	108408	209761	0.516816758119956	0.514675582351351	0.518957317265778	1	0.995856992376963	1.00414181450619	0	0
stopgain	Germline	703	209761	0.00335143329789618	0.00311074029767909	0.00361049190927338	1	0.928182070528397	1.07729785687211	0	0
stoploss	Germline	106	209761	0.000505337026425313	0.000415717585708661	0.000613702509235952	1	0.822654117885231	1.21444200037587	0	0
